Gol Gumbaz,City Palace,Ajanta Caves,Agra Fort,Mysore Palace,Jama Masjid,Taj Mahal,Hawa Mahal,City Palace,Ellora Caves,,,,,Coorg,Kanyakumari,Coorg,kanyakumari,Jal Mahal,Red Fort
Elephanta Caves,Dudhsagar Falls,Coorg,Jaigarh Fort,Gir National Park,India Gate,,,,,,,,,,,,,,
Jagmandir,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,,
Charminar,Ajanta Caves,Jantar Mantar,,,,,,,,,,,,,,,,,
Coorg,Gir National Park,Manali,Marine Drive,Gir National Park,,,,,,,,,,,,,,,
Jaigarh Fort,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,,
Marine Drive,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,,
Qutabminar,Charminar,Gir National Park,,,,,,,,,,,,,,,,,
Coorg,Brindavan Gardens,Gir National Park,,,,,,,,,,,,,,,,,
India Gate,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,,
Coorg,Coorg,Jantar Mantar,,,,,,,,,,,,,,,,,
Coorg,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,,
Charminar,Elephanta Caves,Coorg,Coorg,Jantar Mantar,,,,,,,,,,,,,,,
Brindavan Gardens,Coorg,Coorg,,,,,,,,,,,,,,,,,
Coorg,Kanyakumari,Jantar Mantar,,,,,,,,,,,,,,,,,
Coorg,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,,
Gol Gumbaz,kanyakumari,Jantar Mantar,Jantar Mantar,Jantar Mantar,Jantar Mantar,Jaigarh Fort,,,,,,,,,,,,,
Charminar,Coorg,India Gate,Jantar Mantar,,,,,,,,,,,,,,,,
Charminar,Abbey Falls,kanyakumari,Brindavan Gardens,Coorg,kanyakumari,Kanyakumari,Coorg,Jantar Mantar,Akshardham,,,,,,,,,,
Dudhsagar Falls,Gir National Park,Jantar Mantar,India Gate,Qutabminar,,,,,,,,,,,,,,,
Abbey Falls,Gol Gumbaz,Jog Falls,Brindavan Gardens,Coorg,kanyakumari,kanyakumari,,,,,,,,,,,,,
Abbey Falls,Brindavan Gardens,India Gate,,,,,,,,,,,,,,,,,
Brindavan Gardens,Coorg,kanyakumari,Abbey Falls,kanyakumari,Gir National Park,,,,,,,,,,,,,,
Elephanta Caves,Ramoji Film City,Gol Gumbaz,Jog Falls,Ajanta Caves,Jantar Mantar,Akshardham,Coorg,,,,,,,,,,,,
Coorg,India Gate,,,,,,,,,,,,,,,,,,
Abbey Falls,Brindavan Gardens,Qutabminar,Ajanta Caves,Gir National Park,Abbey Falls,,,,,,,,,,,,,,
Abbey Falls,Brindavan Gardens,Coorg,Gir National Park,Manali,kanyakumari,Kanyakumari,kanyakumari,Brindavan Gardens,,,,,,,,,,,
Brindavan Gardens,India Gate,,,,,,,,,,,,,,,,,,
Coorg,Coorg,Jantar Mantar,kanyakumari,India Gate,,,,,,,,,,,,,,,
Coorg,Brindavan Gardens,Taj Mahal,Coorg,,,,,,,,,,,,,,,,
Brindavan Gardens,Abbey Falls,Charminar,Coorg,,,,,,,,,,,,,,,,
Coorg,kanyakumari,Ajanta Caves,Coorg,,,,,,,,,,,,,,,,
Charminar,India Gate,kanyakumari,,,,,,,,,,,,,,,,,
Coorg,Abbey Falls,kanyakumari,,,,,,,,,,,,,,,,,
Coorg,,,,,,,,,,,,,,,,,,,
Abbey Falls,Brindavan Gardens,Kanyakumari,Brindavan Gardens,,,,,,,,,,,,,,,,
Manali,India Gate,,,,,,,,,,,,,,,,,,
Abbey Falls,Abbey Falls,Coorg,,,,,,,,,,,,,,,,,
Coorg,Abbey Falls,Hawa Mahal,,,,,,,,,,,,,,,,,
Abbey Falls,Coorg,Gir National Park,,,,,,,,,,,,,,,,,
Brindavan Gardens,,,,,,,,,,,,,,,,,,,
Abbey Falls,Coorg,Brindavan Gardens,Coorg,Jantar Mantar,Marine Drive,kanyakumari,Brindavan Gardens,,,,,,,,,,,,
Brindavan Gardens,,,,,,,,,,,,,,,,,,,
Qutabminar,Dudhsagar Falls,Abbey Falls,Brindavan Gardens,,,,,,,,,,,,,,,,
Brindavan Gardens,Red Fort,Red Fort,,,,,,,,,,,,,,,,,
Qutabminar,Ajanta Caves,India Gate,Abbey Falls,kanyakumari,Abbey Falls,kanyakumari,Gir National Park,,,,,,,,,,,,
Coorg,Jantar Mantar,Abbey Falls,Coorg,,,,,,,,,,,,,,,,
Coorg,kanyakumari,Red Fort,,,,,,,,,,,,,,,,,
Ajanta Caves,kanyakumari,Red Fort,,,,,,,,,,,,,,,,,
Elephanta Caves,kanyakumari,Gir National Park,,,,,,,,,,,,,,,,,
Brindavan Gardens,kanyakumari,kanyakumari,Akshardham,Gir National Park,,,,,,,,,,,,,,,
Abbey Falls,Coorg,Coorg,,,,,,,,,,,,,,,,,
Brindavan Gardens,kanyakumari,Red Fort,,,,,,,,,,,,,,,,,
Brindavan Gardens,kanyakumari,Red Fort,,,,,,,,,,,,,,,,,
India Gate,Brindavan Gardens,Coorg,,,,,,,,,,,,,,,,,
Abbey Falls,kanyakumari,Red Fort,,,,,,,,,,,,,,,,,
Charminar,Abbey Falls,Coorg,kanyakumari,Abbey Falls,Brindavan Gardens,Coorg,kanyakumari,Qutabminar,Gir National Park,,,,,,,,,,
Coorg,Coorg,,,,,,,,,,,,,,,,,,
Qutabminar,Jantar Mantar,kanyakumari,kanyakumari,Abbey Falls,City Palace,Gir National Park,,,,,,,,,,,,,
Charminar,Coorg,Coorg,kanyakumari,Jantar Mantar,Gir National Park,,,,,,,,,,,,,,
